DATE (MM/DD/YYYY)_MST,Global CMP22 (vent/cor) [W/m^2],POA 40-South CMP11 [W/m^2],Deck Dry Bulb Temp [deg C],Avg Wind Speed @ 19ft [m/s]
2019-03-10 00:00:00,-0.52178,-2.35908,-2.804,2.963
2019-03-10 00:01:00,-0.505104,-2.50864,-2.7739999999999996,2.753
2019-03-10 00:02:00,-0.48317899999999997,-2.6389,-2.77,3.1
2019-03-10 00:03:00,-0.46292700000000003,-2.80293,-2.818,3.05
2019-03-10 00:04:00,-0.438537,-2.8946099999999997,-2.917,2.95
2019-03-10 00:05:00,-0.43799099999999996,-2.90426,-2.938,2.475
2019-03-10 00:06:00,-0.413078,-2.91873,-2.95,2.813
2019-03-10 00:07:00,-0.403485,-2.85603,-2.92,2.763
2019-03-10 00:08:00,-0.42449,-2.77884,-2.832,2.325
2019-03-10 00:09:00,-0.439878,-2.79332,-2.7760000000000002,2.375
2019-03-10 00:10:00,-0.45997299999999997,-2.81262,-2.759,2.35
2019-03-10 00:11:00,-0.458797,-2.85121,-2.7460000000000004,2.525
2019-03-10 00:12:00,-0.452607,-2.8656900000000003,-2.7569999999999997,2.625
2019-03-10 00:13:00,-0.47188599999999997,-2.8464,-2.77,2.463
2019-03-10 00:14:00,-0.459506,-2.85606,-2.7680000000000002,2.425
2019-03-10 00:15:00,-0.47382799999999997,-2.82712,-2.765,2.25
2019-03-10 00:16:00,-0.477602,-2.79336,-2.7439999999999998,2.425
2019-03-10 00:17:00,-0.505631,-2.73545,-2.7489999999999997,2.225
2019-03-10 00:18:00,-0.463848,-2.7065099999999997,-2.7439999999999998,2.6
2019-03-10 00:19:00,-0.482206,-2.71135,-2.7319999999999998,2.313
2019-03-10 00:20:00,-0.48117200000000004,-2.71136,-2.727,2.35
2019-03-10 00:21:00,-0.49440600000000007,-2.71137,-2.7110000000000003,2.475
2019-03-10 00:22:00,-0.47921800000000003,-2.70172,-2.7119999999999997,2.625
2019-03-10 00:23:00,-0.47888100000000006,-2.8126900000000004,-2.734,2.263
2019-03-10 00:24:00,-0.45221000000000006,-2.8319799999999997,-2.781,2.375
