,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project
,Weather Station 1 (Standard w/ POA GHI),Weather Station 2 (Standard with POA GHI),Weather Station 1 (Standard w/ POA GHI),Weather Station 2 (Standard with POA GHI),Weather Station 1 (Standard w/ POA GHI),Weather Station 2 (Standard with POA GHI),Weather Station 1 (Standard w/ POA GHI),Weather Station 2 (Standard with POA GHI),Weather Station 1 (Standard w/ POA GHI),Weather Station 2 (Standard with POA GHI),Elkor Production Meter,Inverter 1,Inverter 2,Inverter 3,Inverter 4,Inverter 5,Inverter 6,Inverter 7,Inverter 8
Timestamp,"Weather Station 1 (Standard w/ POA GHI), Sun","Weather Station 2 (Standard with POA GHI), Sun","Weather Station 1 (Standard w/ POA GHI), Sun2","Weather Station 2 (Standard with POA GHI), Sun2","Weather Station 1 (Standard w/ POA GHI), TempF","Weather Station 2 (Standard with POA GHI), TempF","Weather Station 1 (Standard w/ POA GHI), Temp1","Weather Station 2 (Standard with POA GHI), Temp1","Weather Station 1 (Standard w/ POA GHI), WindSpeed","Weather Station 2 (Standard with POA GHI), WindSpeed","Elkor Production Meter, KW","Inverter 1, KW","Inverter 2, KW","Inverter 3, KW","Inverter 4, KW","Inverter 5, KW","Inverter 6, KW","Inverter 7, KW","Inverter 8, KW"
,W/m^2,W/m^2,W/m^2,W/m^2,ÁF,ÁF,ÁF,ÁF,mph,mph,kW,kW,kW,kW,kW,kW,kW,kW,kW
10/9/90 0:00,0,0,0,0,17.7506661,17.77082141,15.64035473,15.52653676,-0.000720657,-0.007220697,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:05,0,0,0,0,17.73754519,17.75302998,15.5519198,15.70682537,-0.008876113,-0.007194969,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:10,0,0,0,0,17.64808951,17.68943705,15.54151633,15.50685721,0.008686454,0.002557444,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:15,0,0,0,0,17.64177153,17.58211917,15.31763848,15.51051508,0.00059837,-0.011808497,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:20,0,0,0,0,17.61686995,17.55574583,15.39555349,15.53016257,-0.009093088,0.005773034,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:25,0,0,0,0,17.57795465,17.5459537,15.28355982,15.28265847,-0.000741977,0.000656023,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:30,0,0,0,0,17.45895299,17.47273349,15.22055298,15.36970883,0.004862736,0.000722035,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:35,0,0,0,0,17.40791147,17.38453044,15.28244228,15.2504744,0.007352957,0.005496723,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:40,0,0,0,0,17.37692064,17.42322539,15.16009139,14.98326962,0.010348168,0.007920316,-8868,-150,-150,-150,-150,-150,-150,-150,-150
