,Met 1,Met 1,Met 1,Met 1,Met 1,Met 1,Met 1,Met 2,Met 2,Met 2,Met 2,Met 2,Met 2,Met 2,Skid A,Skid A,Skid B,Skid B,Skid C,Skid C,Skid D,Skid D,Skid A,Skid A,Skid B,Skid B,Skid C,Skid C,Skid D,Skid D,mtr
timestamp,poa,poa-reference cell,ghi,ambient temperature,mod temperature 1,mod temperature 2,wind speed,poa,poa-reference cell,ghi,ambient temperature,mod temperature 2,mod temperature 1,wind speed,Inverter 1 power,Inverter 2 power,Inverter 3 power,Inverter 4 power,Inverter 5 power,Inverter 6 power,Inverter 7 power,Inverter 8 power,Inverter 1 power factor,Inverter 2 power factor,Inverter 3 power factor,Inverter 4 power factor,Inverter 5 power factor,Inverter 6 power factor,Inverter 7 power factor,Inverter 8 power factor,meter power
,w/m^2,w/m^2,w/m^2,픀,픀,픀,m/sec,w/m^2,w/m^2,w/m^2,픀,픀,픀,m/sec,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
10/9/17 0:00,0,0,,17.5601071,57.5601071,,,0,0,,17.5601071,,,,,,,,,,,,,,,,,,,,
10/9/17 0:05,0,0,,17.72773723,,,,0,0,,17.72773723,,,,,,,,,,,,,,,,,,,,
10/9/17 0:10,0,0,,17.3551376,,,,0,0,,17.3551376,,,,,,,,,,,,,,,,,,,,
10/9/17 0:15,0,0,,17.55781177,,,,0,0,,17.55781177,,,,,,,,,,,,,,,,,,,,
10/9/17 0:20,0,0,,17.4880731,,,,0,0,,17.4880731,,,,,,,,,,,,,,,,,,,,
10/9/17 0:25,0,0,,17.32216164,,,,0,0,,17.32216164,,,,,,,,,,,,,,,,,,,,
10/9/17 0:30,0,0,,17.33161738,,,,0,0,,17.33161738,,,,,,,,,,,,,,,,,,,,
10/9/17 0:35,0,0,,17.32819922,,,,0,0,,17.32819922,,,,,,,,,,,,,,,,,,,,
10/9/17 0:40,0,0,,17.37521221,,,,0,0,,17.37521221,,,,,,,,,,,,,,,,,,,,
10/9/17 0:45,0,0,,17.17223612,,,,0,0,,17.17223612,,,,,,,,,,,,,,,,,,,,
10/9/17 0:50,0,0,,17.05604825,,,,0,0,,17.05604825,,,,,,,,,,,,,,,,,,,,
10/9/17 0:55,0,0,,16.99663646,,,,0,0,,16.99663646,,,,,,,,,,,,,,,,,,,,
10/9/17 1:00,0,0,,17.03348713,,,,0,0,,17.03348713,,,,,,,,,,,,,,,,,,,,
10/9/17 1:05,0,0,,16.83590432,,,,0,0,,16.83590432,,,,,,,,,,,,,,,,,,,,
10/9/17 1:10,0,0,,16.87745693,,,,0,0,,16.87745693,,,,,,,,,,,,,,,,,,,,
10/9/17 1:15,0,0,,16.88006561,,,,0,0,,16.88006561,,,,,,,,,,,,,,,,,,,,
10/9/17 1:20,0,0,,16.56175556,,,,0,0,,16.56175556,,,,,,,,,,,,,,,,,,,,
10/9/17 1:25,0,0,,16.42729141,,,,0,0,,16.42729141,,,,,,,,,,,,,,,,,,,,
10/9/17 1:30,0,0,,16.53859066,,,,0,0,,16.53859066,,,,,,,,,,,,,,,,,,,,
10/9/17 1:35,0,0,,16.41812254,,,,0,0,,16.41812254,,,,,,,,,,,,,,,,,,,,
10/9/17 1:40,0,0,,16.33757434,,,,0,0,,16.33757434,,,,,,,,,,,,,,,,,,,,
10/9/17 1:45,0,0,,16.05986561,,,,0,0,,16.05986561,,,,,,,,,,,,,,,,,,,,
10/9/17 1:50,0,0,,16.01016423,,,,0,0,,16.01016423,,,,,,,,,,,,,,,,,,,,
10/9/17 1:55,0,0,,16.17270505,,,,0,0,,16.17270505,,,,,,,,,,,,,,,,,,,,
10/9/17 2:00,0,0,,15.85899252,,,,0,0,,15.85899252,,,,,,,,,,,,,,,,,,,,
10/9/17 2:05,0,0,,15.78092708,,,,0,0,,15.78092708,,,,,,,,,,,,,,,,,,,,
10/9/17 2:10,0,0,,15.8838474,,,,0,0,,15.8838474,,,,,,,,,,,,,,,,,,,,
10/9/17 2:15,0,0,,15.78595869,,,,0,0,,15.78595869,,,,,,,,,,,,,,,,,,,,
10/9/17 2:20,0,0,,15.95279334,,,,0,0,,15.95279334,,,,,,,,,,,,,,,,,,,,
10/9/17 2:25,0,0,,15.92721424,,,,0,0,,15.92721424,,,,,,,,,,,,,,,,,,,,
10/9/17 2:30,0,0,,15.84928895,,,,0,0,,15.84928895,,,,,,,,,,,,,,,,,,,,
10/9/17 2:35,0,0,,16.0529448,,,,0,0,,16.0529448,,,,,,,,,,,,,,,,,,,,
10/9/17 2:40,0,0,,15.85405356,,,,0,0,,15.85405356,,,,,,,,,,,,,,,,,,,,
10/9/17 2:45,0,0,,16.0322638,,,,0,0,,16.0322638,,,,,,,,,,,,,,,,,,,,
10/9/17 2:50,0,0,,16.06070744,,,,0,0,,16.06070744,,,,,,,,,,,,,,,,,,,,
10/9/17 2:55,0,0,,15.82346299,,,,0,0,,15.82346299,,,,,,,,,,,,,,,,,,,,
10/9/17 3:00,0,0,,15.97819762,,,,0,0,,15.97819762,,,,,,,,,,,,,,,,,,,,
10/9/17 3:05,0,0,,15.80440569,,,,0,0,,15.80440569,,,,,,,,,,,,,,,,,,,,
10/9/17 3:10,0,0,,16.07467647,,,,0,0,,16.07467647,,,,,,,,,,,,,,,,,,,,
10/9/17 3:15,0,0,,15.79652638,,,,0,0,,15.79652638,,,,,,,,,,,,,,,,,,,,
10/9/17 3:20,0,0,,15.90892078,,,,0,0,,15.90892078,,,,,,,,,,,,,,,,,,,,
10/9/17 3:25,0,0,,15.83727138,,,,0,0,,15.83727138,,,,,,,,,,,,,,,,,,,,
10/9/17 3:30,0,0,,15.88748212,,,,0,0,,15.88748212,,,,,,,,,,,,,,,,,,,,
10/9/17 3:35,0,0,,15.79789318,,,,0,0,,15.79789318,,,,,,,,,,,,,,,,,,,,
10/9/17 3:40,0,0,,15.86197641,,,,0,0,,15.86197641,,,,,,,,,,,,,,,,,,,,
10/9/17 3:45,0,0,,16.02077802,,,,0,0,,16.02077802,,,,,,,,,,,,,,,,,,,,
10/9/17 3:50,0,0,,15.89205357,,,,0,0,,15.89205357,,,,,,,,,,,,,,,,,,,,
10/9/17 3:55,0,0,,15.91767743,,,,0,0,,15.91767743,,,,,,,,,,,,,,,,,,,,
10/9/17 4:00,0,0,,15.92142898,,,,0,0,,15.92142898,,,,,,,,,,,,,,,,,,,,
10/9/17 4:05,0,0,,15.94818261,,,,0,0,,15.94818261,,,,,,,,,,,,,,,,,,,,
10/9/17 4:10,0,0,,15.83017449,,,,0,0,,15.83017449,,,,,,,,,,,,,,,,,,,,
10/9/17 4:15,0,0,,16.00736386,,,,0,0,,16.00736386,,,,,,,,,,,,,,,,,,,,
10/9/17 4:20,0,0,,15.8193942,,,,0,0,,15.8193942,,,,,,,,,,,,,,,,,,,,
10/9/17 4:25,0,0,,16.00137487,,,,0,0,,16.00137487,,,,,,,,,,,,,,,,,,,,
10/9/17 4:30,0,0,,15.78733199,,,,0,0,,15.78733199,,,,,,,,,,,,,,,,,,,,
10/9/17 4:35,0,0,,15.93361332,,,,0,0,,15.93361332,,,,,,,,,,,,,,,,,,,,
10/9/17 4:40,0,0,,15.81098858,,,,0,0,,15.81098858,,,,,,,,,,,,,,,,,,,,
10/9/17 4:45,0,0,,15.86438052,,,,0,0,,15.86438052,,,,,,,,,,,,,,,,,,,,
10/9/17 4:50,0,0,,16.05432321,,,,0,0,,16.05432321,,,,,,,,,,,,,,,,,,,,
10/9/17 4:55,0,0,,15.90411345,,,,0,0,,15.90411345,,,,,,,,,,,,,,,,,,,,
10/9/17 5:00,0,0,,15.79390787,,,,0,0,,15.79390787,,,,,,,,,,,,,,,,,,,,
10/9/17 5:05,0,0,,15.80529404,,,,0,0,,15.80529404,,,,,,,,,,,,,,,,,,,,
10/9/17 5:10,0,0,,15.7532149,,,,0,0,,15.7532149,,,,,,,,,,,,,,,,,,,,
10/9/17 5:15,0,0,,15.42054006,,,,0,0,,15.42054006,,,,,,,,,,,,,,,,,,,,
10/9/17 5:20,0,0,,15.36168081,,,,0,0,,15.36168081,,,,,,,,,,,,,,,,,,,,
10/9/17 5:25,0,0,,15.33537819,,,,0,0,,15.33537819,,,,,,,,,,,,,,,,,,,,
10/9/17 5:30,0,0,,15.08791877,,,,0,0,,15.08791877,,,,,,,,,,,,,,,,,,,,
10/9/17 5:35,0,0,,14.90430697,,,,0,0,,14.90430697,,,,,,,,,,,,,,,,,,,,
10/9/17 5:40,0,0,,14.95407219,,,,0,0,,14.95407219,,,,,,,,,,,,,,,,,,,,
10/9/17 5:45,0,0,,14.81869785,,,,0,0,,14.81869785,,,,,,,,,,,,,,,,,,,,
10/9/17 5:50,0,0,,14.67703154,,,,0,0,,14.67703154,,,,,,,,,,,,,,,,,,,,
10/9/17 5:55,0,0,,14.475963,,,,0,0,,14.475963,,,,,,,,,,,,,,,,,,,,
10/9/17 6:00,0,0,,14.24623163,,,,0,0,,14.24623163,,,,,,,,,,,,,,,,,,,,
10/9/17 6:05,19.62393141,19.62393141,,14.65212719,,,,19.66329862,19.66329862,,14.65212719,,,,,,,,,,,,,,,,,,,,
